7.1.83 Rob-21
Location,Type,Scene,Dungeon/Overworld
Kak Potion Shop Item 8,Shop,Kakariko Potion Shop,Overworld
Kak Near Potion Shop Pot 1,Pot,Kakariko Village,Overworld
Kak Near Potion Shop Pot 2,Pot,Kakariko Village,Overworld
Kak Near Potion Shop Pot 3,Pot,Kakariko Village,Overworld
Kak Near Impas House Pot 1,Pot,Kakariko Village,Overworld
Kak Near Impas House Pot 2,Pot,Kakariko Village,Overworld
Kak Near Impas House Pot 3,Pot,Kakariko Village,Overworld
Kak Near Guards House Pot 1,Pot,Kakariko Village,Overworld
Kak Near Guards House Pot 2,Pot,Kakariko Village,Overworld
Kak Near Guards House Pot 3,Pot,Kakariko Village,Overworld
Kak Near Odd Medicine Building Pot 1,Pot,Kakariko Village,Overworld
Kak Near Odd Medicine Building Pot 2,Pot,Kakariko Village,Overworld
Kak Adult Red Rupee Crate,Crate,Kakariko Village,Overworld
Kak Adult Arrows Crate,Crate,Kakariko Village,Overworld
Kak Open Grotto Beehive 1,Beehive,Grottos,Overworld
Kak Open Grotto Beehive 2,Beehive,Grottos,Overworld
Kak Child Construction Wonderitem,Wonderitem,Kakariko Village,Overworld
Kak Impas House Wonderitem,Wonderitem,Impa's House,Overworld
Kak Redead Grotto Redead Left,EnemyDrop,Grottos,Overworld
Kak Redead Grotto Redead Right,EnemyDrop,Grottos,Overworld
Kak Open Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
Graveyard Shield Grave Chest,Chest,Grave (Fairy's Fountain),Overworld
Graveyard Heart Piece Grave Chest,Chest,Grave (Redead),Overworld
Graveyard Royal Familys Tomb Chest,Chest,Royal Family's Tomb,Overworld
Graveyard Freestanding PoH,Collectable,Graveyard,Overworld
Graveyard Dampe Gravedigging Tour,Collectable,Graveyard,Overworld
Graveyard Dampe Race Hookshot Chest,Chest,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Freestanding PoH,Collectable,Dampé's Grave & Windmill,Overworld
Graveyard GS Bean Patch,GS Token,Treasure Box Shop,Overworld
Graveyard GS Wall,GS Token,Treasure Box Shop,Overworld
Graveyard Dampe Race Rupee 1,Freestanding,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Rupee 2,Freestanding,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Rupee 3,Freestanding,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Rupee 4,Freestanding,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Rupee 5,Freestanding,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Rupee 6,Freestanding,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Rupee 7,Freestanding,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Rupee 8,Freestanding,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Pot 1,Pot,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Pot 2,Pot,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Pot 3,Pot,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Pot 4,Pot,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Pot 5,Pot,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Pot 6,Pot,Dampé's Grave & Windmill,Overworld
Graveyard Gossip Stone Drop,GossipStone,Graveyard,Overworld
Graveyard Heart Piece Grave Redead,EnemyDrop,Grave (Redead),Overworld
Graveyard Royal Familys Tomb Keese 1,EnemyDrop,Royal Family's Tomb,Overworld
Graveyard Royal Familys Tomb Keese 2,EnemyDrop,Royal Family's Tomb,Overworld
Graveyard Royal Familys Tomb Keese 3,EnemyDrop,Royal Family's Tomb,Overworld
Graveyard Royal Familys Tomb Keese 4,EnemyDrop,Royal Family's Tomb,Overworld
Graveyard Royal Familys Tomb Redead 1,EnemyDrop,Royal Family's Tomb,Overworld
Graveyard Royal Familys Tomb Redead 2,EnemyDrop,Royal Family's Tomb,Overworld
Graveyard Royal Familys Tomb Redead 3,EnemyDrop,Royal Family's Tomb,Overworld
Graveyard Dampe Race Redead 1,EnemyDrop,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Redead 2,EnemyDrop,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Redead 3,EnemyDrop,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Redead 4,EnemyDrop,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 1,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 2,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 3,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 4,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 5,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 6,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 7,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 8,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 9,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 10,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 11,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 12,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 13,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 14,Wonderitem,Dampé's Grave & Windmill,Overworld
Graveyard Dampe Race Wonderitem 15,Wonderitem,Dampé's Grave & Windmill,Overworld
DMT Freestanding PoH,Collectable,Death Mountain Trail,Overworld
DMT Chest,Chest,Death Mountain Trail,Overworld
DMT Storms Grotto Chest,Chest,Grottos,Overworld
DMT Great Fairy Reward,Cutscene,,Overworld
DMT Biggoron,NPC,Death Mountain Trail,Overworld
DMT Trade Broken Sword,NPC,Death Mountain Trail,Overworld
DMT Trade Eyedrops,NPC,Death Mountain Trail,Overworld
DMT Cow Grotto Cow,NPC,Grottos,Overworld
DMT GS Near Kak,GS Token,Inside Ganon's Castle (Collapsing),Overworld
DMT GS Bean Patch,GS Token,Inside Ganon's Castle (Collapsing),Overworld
DMT GS Above Dodongos Cavern,GS Token,Inside Ganon's Castle (Collapsing),Overworld
DMT GS Falling Rocks Path,GS Token,Inside Ganon's Castle (Collapsing),Overworld
DMT Rock Red Rupee,Freestanding,Death Mountain Trail,Overworld
DMT Rock Blue Rupee,Freestanding,Death Mountain Trail,Overworld
DMT Cow Grotto Green Rupee 1,RupeeTower,Grottos,Overworld
DMT Cow Grotto Green Rupee 2,RupeeTower,Grottos,Overworld
DMT Cow Grotto Green Rupee 3,RupeeTower,Grottos,Overworld
DMT Cow Grotto Green Rupee 4,RupeeTower,Grottos,Overworld
DMT Cow Grotto Green Rupee 5,RupeeTower,Grottos,Overworld
DMT Cow Grotto Green Rupee 6,RupeeTower,Grottos,Overworld
DMT Cow Grotto Red Rupee,RupeeTower,Grottos,Overworld
DMT Cow Grotto Recovery Heart 1,Freestanding,Grottos,Overworld
DMT Cow Grotto Recovery Heart 2,Freestanding,Grottos,Overworld
DMT Cow Grotto Recovery Heart 3,Freestanding,Grottos,Overworld
DMT Cow Grotto Recovery Heart 4,Freestanding,Grottos,Overworld
DMT Cow Grotto Beehive,Beehive,Grottos,Overworld
DMT Storms Grotto Beehive 1,Beehive,Grottos,Overworld
DMT Storms Grotto Beehive 2,Beehive,Grottos,Overworld
DMT Gossip Stone Drop,GossipStone,Death Mountain Trail,Overworld
DMT Storms Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
DMT Adult First Tektite,EnemyDrop,Death Mountain Trail,Vanilla
DMT Adult Second Tektite,EnemyDrop,Death Mountain Trail,Vanilla
DMT Adult Summit Tektite,EnemyDrop,Death Mountain Trail,Vanilla
DMT Adult Summit Skullwalltula Lower,EnemyDrop,Death Mountain Trail,Vanilla
DMT Adult Summit Skullwalltula Middle,EnemyDrop,Death Mountain Trail,Vanilla
DMT Adult Summit Skullwalltula Upper,EnemyDrop,Death Mountain Trail,Vanilla
DMT Child First Tektite,EnemyDrop,Death Mountain Trail,Vanilla
DMT Child Second Tektite,EnemyDrop,Death Mountain Trail,Vanilla
DMT Child Third Tektite,EnemyDrop,Death Mountain Trail,Vanilla
DMT Child Near DC Tektite,EnemyDrop,Death Mountain Trail,Vanilla
DMT Child Summit Skullwalltula Lower,EnemyDrop,Death Mountain Trail,Vanilla
DMT Child Summit Skullwalltula Middle,EnemyDrop,Death Mountain Trail,Vanilla
DMT Child Summit Skullwalltula Upper,EnemyDrop,Death Mountain Trail,Vanilla
GC Darunias Joy,NPC,Goron City,Overworld
GC Pot Freestanding PoH,Collectable,Goron City,Overworld
GC Rolling Goron as Child,NPC,Goron City,Overworld
GC Rolling Goron as Adult,NPC,Goron City,Overworld
GC Medigoron,NPC,Goron City,Overworld
GC Maze Left Chest,Chest,Goron City,Overworld
GC Maze Right Chest,Chest,Goron City,Overworld
GC Maze Center Chest,Chest,Goron City,Overworld
GC Deku Scrub Grotto Left,GrottoScrub,,Overworld
GC Deku Scrub Grotto Center,GrottoScrub,,Overworld
GC Deku Scrub Grotto Right,GrottoScrub,,Overworld
GC GS Center Platform,GS Token,Inside Ganon's Castle (Collapsing),Overworld
GC GS Boulder Maze,GS Token,Inside Ganon's Castle (Collapsing),Overworld
GC Shop Item 1,Shop,Goron Shop,Overworld
GC Shop Item 2,Shop,Goron Shop,Overworld
GC Shop Item 3,Shop,Goron Shop,Overworld
GC Shop Item 4,Shop,Goron Shop,Overworld
GC Shop Item 5,Shop,Goron Shop,Overworld
GC Shop Item 6,Shop,Goron Shop,Overworld
GC Shop Item 7,Shop,Goron Shop,Overworld
GC Shop Item 8,Shop,Goron Shop,Overworld
GC Spinning Pot Bomb Drop 1,RupeeTower,Goron City,Overworld
GC Spinning Pot Bomb Drop 2,RupeeTower,Goron City,Overworld
GC Spinning Pot Bomb Drop 3,RupeeTower,Goron City,Overworld
GC Spinning Pot Rupee Drop 1,RupeeTower,Goron City,Overworld
GC Spinning Pot Rupee Drop 2,RupeeTower,Goron City,Overworld
GC Spinning Pot Rupee Drop 3,RupeeTower,Goron City,Overworld
GC Spinning Pot PoH Drop Rupee 1,RupeeTower,Goron City,Overworld
GC Spinning Pot PoH Drop Rupee 2,RupeeTower,Goron City,Overworld
GC Darunia Pot 1,Pot,Goron City,Overworld
GC Darunia Pot 2,Pot,Goron City,Overworld
GC Darunia Pot 3,Pot,Goron City,Overworld
GC Medigoron Pot,Pot,Goron City,Overworld
GC Lower Staircase Pot 1,Pot,Goron City,Overworld
GC Lower Staircase Pot 2,Pot,Goron City,Overworld
GC Upper Staircase Pot 1,Pot,Goron City,Overworld
GC Upper Staircase Pot 2,Pot,Goron City,Overworld
GC Upper Staircase Pot 3,Pot,Goron City,Overworld
GC Boulder Maze Crate,Crate,Goron City,Overworld
GC Grotto Beehive,Beehive,Grottos,Overworld
GC Maze Gossip Stone Drop,GossipStone,Goron City,Overworld
GC Medigoron Gossip Stone Drop,GossipStone,Goron City,Overworld
DMC Volcano Freestanding PoH,Collectable,Death Mountain Crater,Overworld
DMC Wall Freestanding PoH,Collectable,Death Mountain Crater,Overworld
DMC Upper Grotto Chest,Chest,Grottos,Overworld
DMC Great Fairy Reward,Cutscene,,Overworld
DMC Deku Scrub,Scrub,Death Mountain Crater,Overworld
DMC Deku Scrub Grotto Left,GrottoScrub,,Overworld
DMC Deku Scrub Grotto Center,GrottoScrub,,Overworld
DMC Deku Scrub Grotto Right,GrottoScrub,,Overworld
DMC GS Crate,GS Token,Inside Ganon's Castle (Collapsing),Overworld
DMC GS Bean Patch,GS Token,Inside Ganon's Castle (Collapsing),Overworld
DMC Adult Green Rupee 1,RupeeTower,Death Mountain Crater,Overworld
DMC Adult Green Rupee 2,RupeeTower,Death Mountain Crater,Overworld
DMC Adult Green Rupee 3,RupeeTower,Death Mountain Crater,Overworld
DMC Adult Green Rupee 4,RupeeTower,Death Mountain Crater,Overworld
DMC Adult Green Rupee 5,RupeeTower,Death Mountain Crater,Overworld
DMC Adult Green Rupee 6,RupeeTower,Death Mountain Crater,Overworld
DMC Adult Red Rupee,RupeeTower,Death Mountain Crater,Overworld
DMC Child Red Rupee 1,Freestanding,Death Mountain Crater,Overworld
DMC Child Red Rupee 2,Freestanding,Death Mountain Crater,Overworld
DMC Child Blue Rupee 1,Freestanding,Death Mountain Crater,Overworld
DMC Child Blue Rupee 2,Freestanding,Death Mountain Crater,Overworld
DMC Child Blue Rupee 3,Freestanding,Death Mountain Crater,Overworld
DMC Child Blue Rupee 4,Freestanding,Death Mountain Crater,Overworld
DMC Child Blue Rupee 5,Freestanding,Death Mountain Crater,Overworld
DMC Child Blue Rupee 6,Freestanding,Death Mountain Crater,Overworld
DMC Near GC Pot 1,Pot,Death Mountain Crater,Overworld
DMC Near GC Pot 2,Pot,Death Mountain Crater,Overworld
DMC Near GC Pot 3,Pot,Death Mountain Crater,Overworld
DMC Near GC Pot 4,Pot,Death Mountain Crater,Overworld
DMC Upper Grotto Beehive 1,Beehive,Grottos,Overworld
DMC Upper Grotto Beehive 2,Beehive,Grottos,Overworld
DMC Hammer Grotto Beehive,Beehive,Grottos,Overworld
DMC Gossip Stone Drop,GossipStone,Death Mountain Crater,Overworld
DMC Upper Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
DMC Bubble Below Bridge To Fire Temple,EnemyDrop,Death Mountain Crater,Overworld
DMC First Plank Bubble,EnemyDrop,Death Mountain Crater,Overworld
DMC Second Plank Bubble 1,EnemyDrop,Death Mountain Crater,Overworld
DMC Second Plank Bubble 2,EnemyDrop,Death Mountain Crater,Overworld
DMC Pierre Platform Bubble,EnemyDrop,Death Mountain Crater,Overworld
ZR Magic Bean Salesman,NPC,Zora's River,Overworld
ZR Open Grotto Chest,Chest,Grottos,Overworld
ZR Frogs Zeldas Lullaby,NPC,Zora's River,Overworld
ZR Frogs Eponas Song,NPC,Zora's River,Overworld
ZR Frogs Sarias Song,NPC,Zora's River,Overworld
ZR Frogs Suns Song,NPC,Zora's River,Overworld
ZR Frogs Song of Time,NPC,Zora's River,Overworld
ZR Frogs in the Rain,NPC,Zora's River,Overworld
ZR Frogs Ocarina Game,NPC,Zora's River,Overworld
ZR Near Open Grotto Freestanding PoH,Collectable,Zora's River,Overworld
ZR Near Domain Freestanding PoH,Collectable,Zora's River,Overworld
ZR Deku Scrub Grotto Front,GrottoScrub,,Overworld
ZR Deku Scrub Grotto Rear,GrottoScrub,,Overworld
ZR GS Tree,GS Token,Gohma's Lair,Overworld
ZR GS Ladder,GS Token,Gohma's Lair,Overworld
ZR GS Near Raised Grottos,GS Token,Gohma's Lair,Overworld
ZR GS Above Bridge,GS Token,Gohma's Lair,Overworld
ZR Waterfall Red Rupee 1,Freestanding,Zora's River,Overworld
ZR Waterfall Red Rupee 2,Freestanding,Zora's River,Overworld
ZR Waterfall Red Rupee 3,Freestanding,Zora's River,Overworld
ZR Waterfall Red Rupee 4,Freestanding,Zora's River,Overworld
ZR Open Grotto Beehive 1,Beehive,Grottos,Overworld
ZR Open Grotto Beehive 2,Beehive,Grottos,Overworld
ZR Storms Grotto Beehive,Beehive,Grottos,Overworld
ZR Near Grottos Gossip Stone Drop,GossipStone,Zora's River,Overworld
ZR Near Domain Gossip Stone Drop,GossipStone,Zora's River,Overworld
ZR Open Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
ZR Child Octorok Near Bean Salesman,EnemyDrop,Zora's River,Overworld
ZR Child Octorok Near Bridge,EnemyDrop,Zora's River,Overworld
ZR Child Near Frogs Tektite 1,EnemyDrop,Zora's River,Overworld
ZR Child Near Frogs Tektite 2,EnemyDrop,Zora's River,Overworld
ZR Adult Octorok 1,EnemyDrop,Zora's River,Overworld
ZR Adult Octorok 2,EnemyDrop,Zora's River,Overworld
ZR Adult Octorok 3,EnemyDrop,Zora's River,Overworld
ZR Adult Octorok 4,EnemyDrop,Zora's River,Overworld
ZR Adult Octorok 5,EnemyDrop,Zora's River,Overworld
ZR Adult Octorok 6,EnemyDrop,Zora's River,Overworld
ZR Adult Octorok 7,EnemyDrop,Zora's River,Overworld
ZR Adult Octorok 8,EnemyDrop,Zora's River,Overworld
ZR Child Front River Wonderitem 1,Wonderitem,Zora's River,Overworld
ZR Child Front River Wonderitem 2,Wonderitem,Zora's River,Overworld
ZR Child Front River Wonderitem 3,Wonderitem,Zora's River,Overworld
ZR Child Front River Wonderitem 4,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 1,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 2,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 3,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 4,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 5,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 6,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 7,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 8,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 9,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 10,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 11,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 12,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 13,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 14,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 15,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 16,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 17,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 18,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 19,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 20,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 21,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 22,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 23,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 24,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 25,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 26,Wonderitem,Zora's River,Overworld
ZR Child River Wonderitem 27,Wonderitem,Zora's River,Overworld
ZD Diving Minigame,NPC,Zora's Domain,Overworld
ZD Chest,Chest,Zora's Domain,Overworld
ZD King Zora Thawed,NPC,Zora's Domain,Overworld
ZD Trade Prescription,NPC,Zora's Domain,Overworld
ZD GS Frozen Waterfall,GS Token,Gohma's Lair,Overworld
ZD Shop Item 1,Shop,Zora Shop,Overworld
ZD Shop Item 2,Shop,Zora Shop,Overworld
ZD Shop Item 3,Shop,Zora Shop,Overworld
ZD Shop Item 4,Shop,Zora Shop,Overworld
ZD Shop Item 5,Shop,Zora Shop,Overworld
ZD Shop Item 6,Shop,Zora Shop,Overworld
ZD Shop Item 7,Shop,Zora Shop,Overworld
ZD Shop Item 8,Shop,Zora Shop,Overworld
ZD Pot 1,Pot,Zora's Domain,Overworld
ZD Pot 2,Pot,Zora's Domain,Overworld
ZD Pot 3,Pot,Zora's Domain,Overworld
ZD Pot 4,Pot,Zora's Domain,Overworld
ZD Pot 5,Pot,Zora's Domain,Overworld
ZD In Front of King Zora Beehive 1,Beehive,Zora's Domain,Overworld
ZD In Front of King Zora Beehive 2,Beehive,Zora's Domain,Overworld
ZD Behind King Zora Beehive,Beehive,Zora's Domain,Overworld
ZD Gossip Stone Drop,GossipStone,Zora's Domain,Overworld
ZF Great Fairy Reward,Cutscene,,Overworld
ZF Iceberg Freestanding PoH,Collectable,Zora's Fountain,Overworld
ZF Bottom Freestanding PoH,Collectable,Zora's Fountain,Overworld
ZF GS Above the Log,GS Token,Gohma's Lair,Overworld
ZF GS Tree,GS Token,Gohma's Lair,Overworld
ZF GS Hidden Cave,GS Token,Gohma's Lair,Overworld
ZF Bottom Green Rupee 1,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 2,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 3,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 4,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 5,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 6,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 7,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 8,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 9,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 10,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 11,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 12,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 13,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 14,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 15,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 16,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 17,Freestanding,Zora's Fountain,Overworld
ZF Bottom Green Rupee 18,Freestanding,Zora's Fountain,Overworld
ZF Hidden Cave Pot 1,Pot,Zora's Fountain,Overworld
ZF Hidden Cave Pot 2,Pot,Zora's Fountain,Overworld
ZF Hidden Cave Pot 3,Pot,Zora's Fountain,Overworld
ZF Near Jabu Pot 1,Pot,Zora's Fountain,Overworld
ZF Near Jabu Pot 2,Pot,Zora's Fountain,Overworld
ZF Near Jabu Pot 3,Pot,Zora's Fountain,Overworld
ZF Near Jabu Pot 4,Pot,Zora's Fountain,Overworld
ZF Fairy Gossip Stone Drop,GossipStone,Zora's Fountain,Overworld
ZF Jabu Gossip Stone Drop,GossipStone,Zora's Fountain,Overworld
ZF Adult Octorok 1,EnemyDrop,Zora's Fountain,Overworld
ZF Adult Octorok 2,EnemyDrop,Zora's Fountain,Overworld
ZF Adult Octorok 3,EnemyDrop,Zora's Fountain,Overworld
ZF Adult Octorok 4,EnemyDrop,Zora's Fountain,Overworld
ZF Adult Tektite,EnemyDrop,Zora's Fountain,Overworld
ZF Adult Hidden Cave Skulltula 1,EnemyDrop,Zora's Fountain,Overworld
ZF Adult Hidden Cave Skulltula 2,EnemyDrop,Zora's Fountain,Overworld
ZF Adult Hidden Cave Skulltula 3,EnemyDrop,Zora's Fountain,Overworld
ZF Adult Hidden Cave Skulltula 4,EnemyDrop,Zora's Fountain,Overworld
ZF Adult Hidden Cave Skulltula 5,EnemyDrop,Zora's Fountain,Overworld
LH Underwater Item,NPC,Lake Hylia,Overworld
LH Child Fishing,NPC,Fishing Pond,Overworld
LH Adult Fishing,NPC,Fishing Pond,Overworld
LH Lab Dive,NPC,Lakeside Laboratory,Overworld
LH Trade Eyeball Frog,NPC,Lakeside Laboratory,Overworld
LH Freestanding PoH,Collectable,Lake Hylia,Overworld
LH Sun,NPC,Lake Hylia,Overworld
LH Deku Scrub Grotto Left,GrottoScrub,,Overworld
LH Deku Scrub Grotto Center,GrottoScrub,,Overworld
LH Deku Scrub Grotto Right,GrottoScrub,,Overworld
LH GS Bean Patch,GS Token,King Dodongo's Lair,Overworld
